===== Starting battle of <Backtracker> vs <CounterPunch> with memory tape size: 16 =====

[ 128 | 0 | 4 | -1 | 0< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-70 | -127 ]
[ 128 | 0 | 4 | -1 | 0< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-70 | -127 ]
[ 128 | 0 | 4 | -1 | 0< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-71 | -127 ]
[ 128 | 0 | 4 | -1 | 0< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-71 | -127 ]
[ 128 | 0 | 4 | -1 | 0< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-72 | -127 ]
[ 128 | 0 | 4 | -1 | 0< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-72 | -127 ]
[ 128 | 0 | 4 | -1 | 0< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-73 | -127 ]
[ 128 | 0 | 4 | -1 | 0< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-73 | -127 ]
[ 128 | 0 | 4 | -1 | 0< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-74 | -127 ]
[ 128 | 0 | 4 | -1 | 0< | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-74 | -127 ]
[ 128 | 0 | 4 | -1< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-75 | -127 ]
[ 128 | 0 | 4 | -1< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-75 | -127 ]
[ 128 | 0 | 4 | -2< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-76 | -127 ]
[ 128 | 0 | 4 | -2< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-76 | -127 ]
[ 128 | 0 | 4 | -1< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-77 | -127 ]
[ 128 | 0 | 4 | 0< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-77 | -127 ]
[ 128 | 0 | 4 | 1< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-78 | -127 ]
[ 128 | 0 | 4 | 2< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-78 | -127 ]
[ 128 | 0 | 4 | 3< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-79 | -127 ]
[ 128 | 0 | 4 | 4< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-79 | -127 ]
[ 128 | 0 | 4 | 4< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-80 | -127 ]
[ 128 | 0 | 4 | 3< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-80 | -127 ]
[ 128 | 0 | 4 | 3< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-81 | -127 ]
[ 128 | 0 | 4 | 2< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-81 | -127 ]
[ 128 | 0 | 4 | 2< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-82 | -127 ]
[ 128 | 0 | 4 | 1< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-82 | -127 ]
[ 128 | 0 | 4 | 1< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-83 | -127 ]
[ 128 | 0 | 4 | 0< | 0 | 0 | 0 | -1 | -11 | 8 | -12 | 12 | -12 | 12 | >-83 | -127 ]
